task_name,zs_passed,zs_rank,fb_passed,fb_rank,fb_iterations,improved
Prob001_zero,True,1.0,True,1.0,1,False
Prob007_wire,True,1.0,True,1.0,1,False
Prob014_andgate,True,1.0,True,1.0,1,False
Prob024_hadd,True,1.0,True,1.0,1,False
Prob027_fadd,True,1.0,True,1.0,1,False
Prob031_dff,True,1.0,True,1.0,1,False
Prob035_count1to10,True,1.0,True,1.0,1,False
Prob041_dff8r,True,1.0,True,1.0,1,False
Prob025_reduction,True,1.0,True,1.0,1,False
Prob022_mux2to1,True,1.0,True,1.0,1,False
Prob050_kmap1,True,1.0,True,1.0,1,False
Prob054_edgedetect,True,1.0,True,1.0,1,False
Prob068_countbcd,True,1.0,True,1.0,1,False
Prob082_lfsr32,True,1.0,True,1.0,1,False
Prob085_shift4,True,1.0,True,1.0,1,False
Prob030_popcount255,True,1.0,True,1.0,1,False
Prob109_fsm1,True,1.0,True,1.0,1,False
Prob127_lemmings1,True,1.0,True,1.0,1,False
Prob140_fsm_hdlc,True,1.0,True,1.0,1,False
Prob144_conwaylife,True,1.0,True,1.0,1,False
